timestamp,emotion,emotion_confidence,temporal_emotion,temporal_confidence,stress_level,cognitive_load,deception_risk,gaze,yaw,pitch,roll,blink_rate,anomaly_risk,fusion_confidence,final_state,cognitive_assessment
22:30:15,calm,31.487184124280443,disgust,59.41939353942871,MEDIUM,LOW,LOW,CENTER,-2.0521670314393066,7.311105495922676,-0.016085748047988076,3.69,LOW,0.48,Stable emotional condition,Negative emotional trajectory
22:30:15,calm,31.380365942462262,disgust,52.38800644874573,MEDIUM,LOW,LOW,CENTER,-1.8865488247794784,8.04116547422852,-0.013779811433780239,3.69,LOW,0.44,Stable emotional condition,Negative emotional trajectory
22:30:15,calm,32.672032609128934,disgust,44.793716073036194,MEDIUM,LOW,LOW,CENTER,-1.355937291162508,7.48132951879702,0.006677536110049964,3.69,LOW,0.4,Stable emotional condition,Negative emotional trajectory
22:30:15,calm,33.05093815585153,disgust,38.80291283130646,MEDIUM,LOW,LOW,CENTER,-0.5491345841216052,8.579252181569082,0.02280881822739608,3.69,LOW,0.37,Stable emotional condition,Negative emotional trajectory
22:30:15,calm,30.70087171567854,disgust,33.658432960510254,MEDIUM,LOW,LOW,CENTER,-1.7666907423529972,6.86513028105335,0.015493430146813626,3.69,LOW,0.32,Stable emotional condition,Negative emotional trajectory
22:30:15,calm,34.172032609128934,disgust,30.751624703407288,MEDIUM,LOW,LOW,CENTER,-1.4915891069289247,7.951123437346818,0.008758369443144357,3.69,LOW,0.32,Stable emotional condition,Negative emotional trajectory
22:30:16,calm,34.64853702590802,sad,31.36875331401825,MEDIUM,LOW,LOW,CENTER,-0.8426629795834104,6.181585076759753,0.03479265780877861,3.69,LOW,0.33,Stable emotional condition,Negative emotional trajectory
22:30:16,calm,32.10010650497368,sad,29.96649146080017,MEDIUM,LOW,LOW,CENTER,-1.9382397752847822,6.261290903371768,0.017985069645209024,3.69,LOW,0.31,Stable emotional condition,Negative emotional trajectory
22:30:16,calm,33.8386992757956,disgust,29.775384068489075,MEDIUM,LOW,LOW,CENTER,-0.8646397588492589,8.12498529088986,0.02232108537786138,3.69,LOW,0.31,Stable emotional condition,Negative emotional trajectory
22:30:16,calm,32.73158798645517,disgust,30.48534393310547,MEDIUM,LOW,LOW,CENTER,-1.0234590808233763,10.515822102231125,0.051504336601794244,3.69,LOW,0.31,Stable emotional condition,Negative emotional trajectory
22:30:16,calm,32.25013133697959,disgust,31.043434143066406,MEDIUM,LOW,LOW,CENTER,-1.6386106758685313,10.756668109548944,0.028737610022790804,3.69,LOW,0.32,Stable emotional condition,Negative emotional trajectory
22:30:16,calm,34.95304089642175,disgust,28.736549615859985,MEDIUM,LOW,LOW,CENTER,-1.5149870390734712,11.71131898534912,0.021844088640045084,3.69,LOW,0.31,Stable emotional condition,Negative emotional trajectory
22:30:16,calm,34.198537025908024,angry,33.79465937614441,MEDIUM,LOW,LOW,CENTER,0.5098728484112017,12.697398663075225,0.07401471235860085,3.69,LOW,0.34,Stable emotional condition,Stable emotional condition
22:30:16,calm,35.660488040318235,angry,39.033302664756775,MEDIUM,LOW,LOW,CENTER,2.8913802606804864,9.809156818774486,0.07274274119838799,3.69,LOW,0.38,Negative emotional state,Stable emotional condition
22:30:16,calm,37.157102735843836,angry,43.29828917980194,MEDIUM,LOW,LOW,CENTER,5.121590821629136,9.277602832540458,0.10213371221155051,3.69,LOW,0.41,Negative emotional state,Stable emotional condition
22:30:17,calm,36.55416155937325,angry,50.23918151855469,MEDIUM,LOW,LOW,CENTER,6.167469501345182,7.185253298481305,0.09157375380052929,3.69,LOW,0.45,Negative emotional state,Stable emotional condition
22:30:17,calm,36.30416155937325,angry,63.7306272983551,MEDIUM,LOW,LOW,CENTER,7.916806506430895,10.755481898876436,0.19312243021906444,3.69,LOW,0.53,Negative emotional state,Stable emotional condition
22:30:17,calm,37.41562447726031,angry,77.99853682518005,MEDIUM,LOW,LOW,CENTER,7.767157979222455,11.294851450372347,0.2049599679122828,3.69,LOW,0.62,Negative emotional state,Stable emotional condition
22:30:17,calm,35.96107902271485,angry,86.5598976612091,MEDIUM,LOW,LOW,CENTER,4.615591987318922,11.49868603700839,0.23959162863858474,3.69,LOW,0.66,Negative emotional state,Stable emotional condition
22:30:17,calm,35.017600761845294,angry,88.49775195121765,MEDIUM,LOW,LOW,CENTER,3.1319294813388843,11.422683753214189,0.19723629464316458,3.69,LOW,0.67,Negative emotional state,Stable emotional condition
22:30:17,calm,37.41562447726031,angry,87.60720491409302,MEDIUM,LOW,LOW,CENTER,-0.953964327227954,12.718057212687318,0.13815277942775614,3.69,LOW,0.68,Negative emotional state,Stable emotional condition
22:30:17,calm,32.19743278281045,angry,85.37669777870178,MEDIUM,LOW,LOW,CENTER,-1.1331264196121242,11.891835850183504,0.14150346641312342,3.69,LOW,0.64,Negative emotional state,Stable emotional condition
22:30:17,calm,32.179488958278704,angry,82.41889476776123,MEDIUM,LOW,LOW,CENTER,-3.5893165419249264,11.435574561733018,0.08236806728217551,3.69,LOW,0.62,Negative emotional state,Stable emotional condition
22:30:18,calm,31.43679451389084,angry,79.72270250320435,MEDIUM,LOW,LOW,CENTER,-1.2300037614671284,10.39844594484326,0.0660549127203129,3.69,LOW,0.6,Negative emotional state,Stable emotional condition
